name,email,address,purchase_amount,purchase_date
Elizabeth Thompson,andersondorothy@example.org,"718 Linda Lodge Suite 577
Randymouth, NH 82660",60.03,2023-04-13
Ashley Rich,kevinjackson@example.org,"Unit 3556 Box 8805
DPO AE 79890",0.0,2023-02-15
Gregory Rubio,tommybaker@example.org,"8865 Nelson Lane
Jessicaburgh, VT 67651",79.06,2023-10-23
Craig Castro,tanyarobinson@example.com,"07554 James Wall
Ramosfurt, CA 36071",53.03,2023-06-08
Briana Lawrence,vazquezkevin@example.com,"3149 Larson Dale
East Kyle, FL 16118",95.0,2023-09-20
Donna Massey,haleywallace@example.net,"5218 Karen Passage Apt. 289
South Belinda, MH 82031",96.02,2023-05-18
Mark Davis,johnsonronald@example.net,"06159 Kimberly Village Apt. 523
Liufort, PR 94227",90.03,2023-08-11
Jeffrey Hartman,hleonard@example.org,"9587 Powell Prairie Apt. 893
Chadbury, PR 24396",31.07,2023-04-19
Megan Berry,david56@example.com,"10310 Christopher Ford Suite 970
Lake David, LA 99608",0.0,2023-05-04
Crystal Ortega,tannerraven@example.org,"599 Kim Mountain Apt. 469
Russellton, WY 29322",31.01,2022-11-15
Abigail Nelson,jeffrey93@example.com,"78986 Contreras Place
Lake Marymouth, VA 33999",6.05,2023-05-12
Tina Suarez,joshua47@example.com,"5777 Jessica Mill
Lake Daniel, AL 66431",76.05,2023-09-02
Melanie Nielsen,ashleyrodriguez@example.org,"20977 Mccarthy Flat Apt. 939
New Douglasburgh, NY 45305",53.05,2023-01-10
Brooke Moore,patricia41@example.org,"0637 Zachary Plaza Apt. 357
Rasmussenton, OK 21019",39.05,2023-04-25
Emily Kennedy,dbird@example.net,"49875 Kyle Mount Suite 083
Miguelbury, AK 24469",37.07,2023-01-25
Katherine Rodriguez,priscillamartin@example.org,"94693 Bradley Roads Apt. 818
Colefort, IN 54590",24.02,2023-10-26
Nicole Alvarez,johnsonmichael@example.net,"56494 Torres Shores
North Danielhaven, GA 64814",10.0,2023-10-18
Tara Mccoy,yhouston@example.com,"446 Williams Point Apt. 726
West Christopherfort, OK 71575",57.04,2022-11-26
Carrie Higgins,rthomas@example.org,"7429 Maria Crescent Suite 943
West Donna, MT 41505",57.03,2023-03-07
Susan Chapman,hannahparker@example.org,"5283 Jason Path Apt. 190
Garciaborough, NM 95521",93.08,2023-09-20
