name,email,address,purchase_amount,purchase_date
Brandon Jackson,wjones@example.net,"PSC 4512, Box 1224
APO AP 62765",93.0,2023-03-24
Brandy Flowers,hernandeztimothy@example.com,"609 Edwards Gardens
Lake Loriland, RI 08372",61.03,2023-06-18
Michael Smith,cassandramejia@example.org,"11702 Tonya Parkway Suite 258
Maryside, ME 27887",79.0,2022-11-23
Jonathan Moyer,martinezlatoya@example.org,"Unit 1289 Box 9051
DPO AA 49645",4.07,2023-03-31
Monica Matthews,diane30@example.com,"694 Walter Key
South Emilyfurt, MP 47530",73.06,2023-03-05
Scott Zimmerman,tanyamiller@example.com,"62891 Bright Burg
Reedfurt, TN 72298",47.03,2023-09-24
Jessica Chang,johnpatterson@example.com,"72511 Greer Corner
East Karenmouth, VI 53931",67.02,2023-09-30
Miss Nicole Lambert,iallen@example.org,"213 Kyle Radial
West Vanessaland, PW 24553",97.08,2023-10-14
Tara Moses,dodsondebbie@example.net,"1389 Matthew Way Apt. 136
Lopezmouth, WA 42173",62.02,2023-04-01
Lori Burns,perezjohn@example.com,"238 West Causeway
Rachelton, SC 44915",14.09,2023-07-14
Brian Williams,frank06@example.net,"38018 Cohen Islands
Yvonneview, NH 73360",77.05,2023-04-02
Shane Harrison,noblejames@example.org,"628 Moreno Field Suite 056
Sarahberg, RI 35323",61.0,2023-10-04
Jay Mccormick,maddenchristopher@example.org,"89033 Tran Extensions
East Daniel, NC 98155",48.02,2022-11-10
Whitney Jones,fordsarah@example.net,"043 Tabitha Field Apt. 235
South Michaelfort, SC 23432",11.09,2023-06-14
Dorothy Bradley,cookehailey@example.org,"83897 Johnson Spurs Apt. 786
East Jessica, VA 89898",5.06,2023-02-09
Daniel White,tcallahan@example.org,"2727 Turner Dam
Williamborough, KY 29497",61.02,2023-08-17
Michael Ross,djenkins@example.net,"33930 Barbara Tunnel Suite 787
Brookefort, NH 97587",15.0,2023-04-30
Carmen Harris,wyattdavid@example.org,"63593 Hernandez Dale Apt. 736
New Oscar, PA 66072",45.05,2022-12-28
Marcia Whitehead,racheltownsend@example.net,"409 Jennifer Streets Suite 064
Loriside, GU 33623",70.03,2023-06-21
Tracy Mitchell,ymartinez@example.com,"882 Kathryn Bridge Suite 299
Castroville, NY 29959",19.09,2023-08-29
