name,email,address,purchase_amount,purchase_date
Elizabeth Thompson,andersondorothy@example.org,"718 Linda Lodge Suite 577
Randymouth, NH 82660",60.03,2023-04-13
Ashley Rich,kevinjackson@example.org,"Unit 3556 Box 8805
DPO AE 79890",0.0,2023-02-15
Heather Edwards,gonzalezronald@payne.com,"5756 Evans Haven Suite 272 Cynthiaburgh, IN 99139",50.55,2023-09-19
Jeffrey Jordan,proth@yahoo.com,"43416 Tasha Tunnel Maryton, CT 29152",63.68,2023-02-14
Amanda Rice,kylefitzpatrick@hayes-walters.com,"93980 Fowler Roads Apt. 126 Bradleyshire, TN 92420",60.51,2023-08-01
Roberta Dunn,xfitzpatrick@price.com,"7951 Sweeney Pike Millermouth, ID 05542",66.66,2023-03-11
Derek Morales,meyermichael@yahoo.com,"8962 Derrick Summit Suite 434 Stephaniemouth, MD 18411",40.76,2023-05-09
Tony Mccoy,amiller@kelley.com,"8147 Duncan Ferry New James, MA 27342",35.53,2023-10-25
Julie Briggs,mowens@page.com,"9908 Roberto Canyon Jonathanport, DC 05422",54.63,2022-11-27
Susan Green,diane19@yahoo.com,"229 Hernandez Mills Suite 854 Moonburgh, CO 84081",68.86,2023-06-27
Jennifer Hamilton,ugonzalez@thompson.com,"97307 Dana Motorway Andrewfort, ND 13124",40.28,2023-07-13
Travis Walker,yangcrystal@king-kline.net,"79864 Padilla Path Rebeccachester, SC 10630",16.84,2023-09-25
Joseph Mccormick,brittney56@hotmail.com,"3840 Aaron Freeway Dennistown, WI 25991",90.34,2023-08-16
Audrey Clark,smckinney@yahoo.com,"57750 Megan Light Suite 134 New Johnny, WA 35414",29.05,2023-03-20
John Jackson,mooretracy@yahoo.com,"4874 Kevin Canyon North Samantha, RI 84835",1.75,2023-07-14
Brooke Buchanan,melissajackson@hotmail.com,"PSC 3346, Box 0834 APO AP 58609",46.16,2023-01-10
Jessica Snyder,ywood@gregory.com,"671 John Unions Suite 622 Michelleburgh, VT 16217",49.01,2022-11-15
Michael Thomas,qjimenez@yahoo.com,"347 Joseph Lodge Suite 179 Lake Jeffrey, AL 91660",85.94,2023-05-09
Gregory Smith,michaelhammond@patterson.info,"PSC 3287, Box 5425 APO AP 88115",11.39,2023-01-23
Michael Zhang,trevor89@yahoo.com,"05359 David Summit Newmanfurt, DC 70299",16.84,2023-06-21
Brandon Jackson,wjones@example.net,"PSC 4512, Box 1224
APO AP 62765",93.0,2023-03-24
Brandy Flowers,hernandeztimothy@example.com,"609 Edwards Gardens
Lake Loriland, RI 08372",61.03,2023-06-18
Michael Smith,cassandramejia@example.org,"11702 Tonya Parkway Suite 258
Maryside, ME 27887",79.0,2022-11-23
Jonathan Moyer,martinezlatoya@example.org,"Unit 1289 Box 9051
DPO AA 49645",4.07,2023-03-31
Monica Matthews,diane30@example.com,"694 Walter Key
South Emilyfurt, MP 47530",73.06,2023-03-05
Scott Zimmerman,tanyamiller@example.com,"62891 Bright Burg
Reedfurt, TN 72298",47.03,2023-09-24
Jessica Chang,johnpatterson@example.com,"72511 Greer Corner
East Karenmouth, VI 53931",67.02,2023-09-30
Miss Nicole Lambert,iallen@example.org,"213 Kyle Radial
West Vanessaland, PW 24553",97.08,2023-10-14
Tara Moses,dodsondebbie@example.net,"1389 Matthew Way Apt. 136
Lopezmouth, WA 42173",62.02,2023-04-01
Lori Burns,perezjohn@example.com,"238 West Causeway
Rachelton, SC 44915",14.09,2023-07-14
Brian Williams,frank06@example.net,"38018 Cohen Islands
Yvonneview, NH 73360",77.05,2023-04-02
Shane Harrison,noblejames@example.org,"628 Moreno Field Suite 056
Sarahberg, RI 35323",61.0,2023-10-04
Jay Mccormick,maddenchristopher@example.org,"89033 Tran Extensions
East Daniel, NC 98155",48.02,2022-11-10
Whitney Jones,fordsarah@example.net,"043 Tabitha Field Apt. 235
South Michaelfort, SC 23432",11.09,2023-06-14
Dorothy Bradley,cookehailey@example.org,"83897 Johnson Spurs Apt. 786
East Jessica, VA 89898",5.06,2023-02-09
Daniel White,tcallahan@example.org,"2727 Turner Dam
Williamborough, KY 29497",61.02,2023-08-17
Michael Ross,djenkins@example.net,"33930 Barbara Tunnel Suite 787
Brookefort, NH 97587",15.0,2023-04-30
Carmen Harris,wyattdavid@example.org,"63593 Hernandez Dale Apt. 736
New Oscar, PA 66072",45.05,2022-12-28
Marcia Whitehead,racheltownsend@example.net,"409 Jennifer Streets Suite 064
Loriside, GU 33623",70.03,2023-06-21
Tracy Mitchell,ymartinez@example.com,"882 Kathryn Bridge Suite 299
Castroville, NY 29959",19.09,2023-08-29
Elizabeth Thompson,andersondorothy@example.org,"718 Linda Lodge Suite 577
Randymouth, NH 82660",60.03,2023-04-13
Ashley Rich,kevinjackson@example.org,"Unit 3556 Box 8805
DPO AE 79890",0.0,2023-02-15
Gregory Rubio,tommybaker@example.org,"8865 Nelson Lane
Jessicaburgh, VT 67651",79.06,2023-10-23
Craig Castro,tanyarobinson@example.com,"07554 James Wall
Ramosfurt, CA 36071",53.03,2023-06-08
Briana Lawrence,vazquezkevin@example.com,"3149 Larson Dale
East Kyle, FL 16118",95.0,2023-09-20
Donna Massey,haleywallace@example.net,"5218 Karen Passage Apt. 289
South Belinda, MH 82031",96.02,2023-05-18
Mark Davis,johnsonronald@example.net,"06159 Kimberly Village Apt. 523
Liufort, PR 94227",90.03,2023-08-11
Jeffrey Hartman,hleonard@example.org,"9587 Powell Prairie Apt. 893
Chadbury, PR 24396",31.07,2023-04-19
Megan Berry,david56@example.com,"10310 Christopher Ford Suite 970
Lake David, LA 99608",0.0,2023-05-04
Crystal Ortega,tannerraven@example.org,"599 Kim Mountain Apt. 469
Russellton, WY 29322",31.01,2022-11-15
Abigail Nelson,jeffrey93@example.com,"78986 Contreras Place
Lake Marymouth, VA 33999",6.05,2023-05-12
Tina Suarez,joshua47@example.com,"5777 Jessica Mill
Lake Daniel, AL 66431",76.05,2023-09-02
Melanie Nielsen,ashleyrodriguez@example.org,"20977 Mccarthy Flat Apt. 939
New Douglasburgh, NY 45305",53.05,2023-01-10
Brooke Moore,patricia41@example.org,"0637 Zachary Plaza Apt. 357
Rasmussenton, OK 21019",39.05,2023-04-25
Emily Kennedy,dbird@example.net,"49875 Kyle Mount Suite 083
Miguelbury, AK 24469",37.07,2023-01-25
Katherine Rodriguez,priscillamartin@example.org,"94693 Bradley Roads Apt. 818
Colefort, IN 54590",24.02,2023-10-26
